Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.09,60
Assists,0.12,71
Goals + Assists,0.22,63
Non-Penalty Goals,0.09,65
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
Yellow Cards,0.28,30
Red Cards,0.06,2
xG,0.13,74
Non-Penalty xG,0.13,79
xAG,0.11,69
npxG + xAG,0.24,76
,,
Progressive Carries,0.77,24
Progressive Passes,5.86,67
Progressive Passes Rec,1.36,36
Goals,0.09,60
Shots Total,1.27,71
Shots on target,0.37,65
Shots on target %,29.30%,51
Goals/Shot,0.07,54
Goals/Shot on target,0.25,53
Average Shot Distance,22.3,40
Shots from free kicks,0,33
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
,,
xG,0.13,74
Non-Penalty xG,0.13,79
npxG/Sh,0.1,81
Goals - xG,-0.03,23
Non-Penalty Goals - npxG,-0.03,25
Passes Completed,49.74,73
Passes Attempted,62.54,80
Pass Completion %,79.50%,33
Total Passing Distance,903.53,79
Progressive Passing Distance,320.18,93
,,
Passes Completed (Short),22.5,70
Passes Attempted (Short),26.16,75
Pass Completion % (Short),86.00%,26
,,
Passes Completed (Medium),19.65,70
Passes Attempted (Medium),23.49,78
Pass Completion % (Medium),83.60%,28
,,
Passes Completed (Long),6.35,84
Passes Attempted (Long),9.64,84
Pass Completion % (Long),65.90%,56
Assists,0.12,71
xAG,0.11,69
Expected Assists,0.13,76
Key Passes,1.05,59
Passes into Final Third,5.52,76
Passes into Penalty Area,0.81,59
Crosses into Penalty Area,0.12,57
Progressive Passes,5.86,67
Passes Attempted,62.54,80
,,
Live-ball passes,61.02,84
Dead-ball passes,1.33,33
Passes from Free Kicks,1.12,48
Through Balls,0.4,92
Switches,0.77,79
Crosses,0.53,37
Throw-Ins taken,0.06,21
Corner Kicks,0,22
,,
Inswinging Corner Kicks,0,30
Outswinging Corner Kicks,0,29
Straight Corner Kicks,0,45
,,
Passes Completed,49.74,73
Passes Offside,0.19,49
Passes Blocked,1.05,24
Shot-Creating Actions,2.73,65
,,
SCA (PassLive),2.48,83
SCA (PassDead),0.03,41
SCA (TO),0,15
SCA (Sh),0.12,63
SCA (Fld),0.09,52
SCA (Def),0,16
,,
Goal-Creating Actions,0.34,77
,,
GCA (PassLive),0.31,87
GCA (PassDead),0.03,81
GCA (TO),0,42
GCA (Sh),0,37
GCA (Fld),0,38
GCA (Def),0,44
Tackles,3.16,93
Tackles Won,1.61,85
Tackles (Def 3rd),1.74,99
Tackles (Mid 3rd),1.18,70
Tackles (Att 3rd),0.25,51
,,
Dribblers Tackled,1.46,90
Dribbles Challenged,3.19,92
% of dribblers tackled,45.60%,48
Challenges Lost,1.74,10
,,
Blocks,2.26,99
Shots Blocked,0.59,97
Passes Blocked,1.67,97
,,
Interceptions,1.67,91
Tkl+Int,4.83,96
Clearances,2.76,99
Errors,0,71
Touches,76.64,88
Touches (Def Pen),5.36,99
Touches (Def 3rd),24.2,99
Touches (Mid 3rd),41.31,77
Touches (Att 3rd),11.75,42
Touches (Att Pen),1.33,58
Touches (Live-Ball),76.64,88
,,
Take-Ons Attempted,0.99,36
Successful Take-Ons,0.5,31
Successful Take-On %,50.00%,47
Times Tackled During Take-On,0.34,68
Tackled During Take-On Percentage,34.40%,62
,,
Carries,39.95,65
Total Carrying Distance,139.31,25
Progressive Carrying Distance,69.24,34
,,
Progressive Carries,0.77,24
Carries into Final Third,0.68,13
Carries into Penalty Area,0,5
Miscontrols,0.96,72
Dispossessed,0.77,56
,,
Passes Received,48.78,73
Progressive Passes Rec,1.36,36
Yellow Cards,0.28,30
Red Cards,0.06,2
Second Yellow Card,0,55
Fouls Committed,1.77,19
Fouls Drawn,1.46,65
Offsides,0.06,35
Crosses,0.53,37
,,
Interceptions,1.67,91
Tackles Won,1.61,85
Penalty Kicks Won,0,44
Penalty Kicks Conceded,0,60
Own Goals,0,54
Ball Recoveries,8.27,93
,,
Aerials won,2.79,97
Aerials lost,1.39,19
% of Aerials Won,66.70%,97
