Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.07,51
Assists,0.41,99
Goals + Assists,0.48,96
Non-Penalty Goals,0.07,54
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
Yellow Cards,0.1,86
Red Cards,0,59
xG,0.14,78
Non-Penalty xG,0.14,83
xAG,0.25,97
npxG + xAG,0.39,95
,,
Progressive Carries,1.58,65
Progressive Passes,7.78,90
Progressive Passes Rec,2.6,64
Goals,0.07,51
Shots Total,1.64,86
Shots on target,0.55,87
Shots on target %,33.30%,65
Goals/Shot,0.04,36
Goals/Shot on target,0.13,32
Average Shot Distance,22.5,38
Shots from free kicks,0.31,96
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
,,
xG,0.14,78
Non-Penalty xG,0.14,83
npxG/Sh,0.08,63
Goals - xG,-0.07,8
Non-Penalty Goals - npxG,-0.07,8
Passes Completed,51.6,77
Passes Attempted,65.47,85
Pass Completion %,78.80%,30
Total Passing Distance,918.09,80
Progressive Passing Distance,304.26,89
,,
Passes Completed (Short),24.67,79
Passes Attempted (Short),27.54,80
Pass Completion % (Short),89.60%,64
,,
Passes Completed (Medium),19.08,67
Passes Attempted (Medium),22.54,71
Pass Completion % (Medium),84.70%,34
,,
Passes Completed (Long),6.51,87
Passes Attempted (Long),11.92,95
Pass Completion % (Long),54.60%,18
Assists,0.41,99
xAG,0.25,97
Expected Assists,0.21,92
Key Passes,2.33,96
Passes into Final Third,7.16,93
Passes into Penalty Area,1.4,88
Crosses into Penalty Area,0.24,81
Progressive Passes,7.78,90
Passes Attempted,65.47,85
,,
Live-ball passes,58.14,79
Dead-ball passes,7.02,95
Passes from Free Kicks,2.33,84
Through Balls,0.38,88
Switches,0.93,85
Crosses,5.41,96
Throw-Ins taken,0.38,73
Corner Kicks,3.91,97
,,
Inswinging Corner Kicks,1.47,97
Outswinging Corner Kicks,1.4,96
Straight Corner Kicks,0.17,99
,,
Passes Completed,51.6,77
Passes Offside,0.31,12
Passes Blocked,1.03,27
Shot-Creating Actions,4.32,95
,,
SCA (PassLive),2.47,82
SCA (PassDead),1.58,98
SCA (TO),0.07,57
SCA (Sh),0.1,52
SCA (Fld),0.07,43
SCA (Def),0.03,39
,,
Goal-Creating Actions,0.48,93
,,
GCA (PassLive),0.27,81
GCA (PassDead),0.21,99
GCA (TO),0,42
GCA (Sh),0,37
GCA (Fld),0,38
GCA (Def),0,44
Tackles,0.89,2
Tackles Won,0.55,2
Tackles (Def 3rd),0.41,7
Tackles (Mid 3rd),0.27,1
Tackles (Att 3rd),0.21,37
,,
Dribblers Tackled,0.45,4
Dribbles Challenged,1.27,10
% of dribblers tackled,35.10%,15
Challenges Lost,0.82,73
,,
Blocks,0.86,17
Shots Blocked,0.27,57
Passes Blocked,0.58,10
,,
Interceptions,0.58,11
Tkl+Int,1.47,2
Clearances,1.06,54
Errors,0.03,33
Touches,73.08,82
Touches (Def Pen),1.95,46
Touches (Def 3rd),13.05,54
Touches (Mid 3rd),37.99,64
Touches (Att 3rd),22.37,92
Touches (Att Pen),1.2,54
Touches (Live-Ball),73.08,82
,,
Take-Ons Attempted,0.82,25
Successful Take-Ons,0.34,17
Successful Take-On %,41.70%,22
Times Tackled During Take-On,0.48,50
Tackled During Take-On Percentage,58.30%,4
,,
Carries,43.72,74
Total Carrying Distance,182.98,53
Progressive Carrying Distance,96.99,63
,,
Progressive Carries,1.58,65
Carries into Final Third,1.54,65
Carries into Penalty Area,0.14,47
Miscontrols,1.23,50
Dispossessed,0.82,51
,,
Passes Received,52.31,83
Progressive Passes Rec,2.6,64
Yellow Cards,0.1,86
Red Cards,0,59
Second Yellow Card,0,55
Fouls Committed,0.51,99
Fouls Drawn,0.34,1
Offsides,0.1,19
Crosses,5.41,96
,,
Interceptions,0.58,11
Tackles Won,0.55,2
Penalty Kicks Won,0,44
Penalty Kicks Conceded,0,60
Own Goals,0,54
Ball Recoveries,6.82,64
,,
Aerials won,0.38,12
Aerials lost,0.51,88
% of Aerials Won,42.30%,29
