Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.21,87
Assists,0.05,38
Goals + Assists,0.26,73
Non-Penalty Goals,0.21,89
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
Yellow Cards,0.31,23
Red Cards,0,59
xG,0.16,85
Non-Penalty xG,0.16,90
xAG,0.13,77
npxG + xAG,0.29,84
,,
Progressive Carries,0.88,27
Progressive Passes,5.08,51
Progressive Passes Rec,3.47,79
Goals,0.21,87
Shots Total,1.87,92
Shots on target,0.52,82
Shots on target %,27.80%,44
Goals/Shot,0.11,75
Goals/Shot on target,0.4,77
Average Shot Distance,19.4,67
Shots from free kicks,0,33
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
,,
xG,0.16,85
Non-Penalty xG,0.16,90
npxG/Sh,0.09,74
Goals - xG,0.05,81
Non-Penalty Goals - npxG,0.05,81
Passes Completed,44.35,59
Passes Attempted,55.08,65
Pass Completion %,80.50%,39
Total Passing Distance,698.81,51
Progressive Passing Distance,199.69,50
,,
Passes Completed (Short),24.04,77
Passes Attempted (Short),27.62,80
Pass Completion % (Short),87.10%,35
,,
Passes Completed (Medium),14.61,42
Passes Attempted (Medium),17.51,43
Pass Completion % (Medium),83.40%,26
,,
Passes Completed (Long),3.63,48
Passes Attempted (Long),5.23,44
Pass Completion % (Long),69.30%,67
Assists,0.05,38
xAG,0.13,77
Expected Assists,0.1,64
Key Passes,1.66,86
Passes into Final Third,4.77,61
Passes into Penalty Area,0.67,47
Crosses into Penalty Area,0.21,76
Progressive Passes,5.08,51
Passes Attempted,55.08,65
,,
Live-ball passes,53.78,69
Dead-ball passes,1.09,27
Passes from Free Kicks,0.62,28
Through Balls,0.41,92
Switches,0.31,41
Crosses,0.93,54
Throw-Ins taken,0.31,69
Corner Kicks,0,22
,,
Inswinging Corner Kicks,0,30
Outswinging Corner Kicks,0,29
Straight Corner Kicks,0,45
,,
Passes Completed,44.35,59
Passes Offside,0.21,39
Passes Blocked,1.55,2
Shot-Creating Actions,3.16,79
,,
SCA (PassLive),2.54,84
SCA (PassDead),0,19
SCA (TO),0,15
SCA (Sh),0.36,97
SCA (Fld),0.16,76
SCA (Def),0.1,85
,,
Goal-Creating Actions,0.31,71
,,
GCA (PassLive),0.21,62
GCA (PassDead),0,39
GCA (TO),0,42
GCA (Sh),0.1,97
GCA (Fld),0,38
GCA (Def),0,44
Tackles,3.32,95
Tackles Won,1.76,91
Tackles (Def 3rd),1.61,97
Tackles (Mid 3rd),1.19,71
Tackles (Att 3rd),0.52,97
,,
Dribblers Tackled,0.98,62
Dribbles Challenged,3.01,90
% of dribblers tackled,32.80%,8
Challenges Lost,2.02,4
,,
Blocks,2.44,99
Shots Blocked,0.1,15
Passes Blocked,2.33,99
,,
Interceptions,1.3,72
Tkl+Int,4.61,93
Clearances,0.98,48
Errors,0.05,17
Touches,70.21,77
Touches (Def Pen),2.33,61
Touches (Def 3rd),16.17,80
Touches (Mid 3rd),35.03,53
Touches (Att 3rd),19.59,86
Touches (Att Pen),2.18,80
Touches (Live-Ball),70.21,77
,,
Take-Ons Attempted,1.87,70
Successful Take-Ons,0.83,61
Successful Take-On %,44.40%,29
Times Tackled During Take-On,0.83,21
Tackled During Take-On Percentage,44.40%,29
,,
Carries,39.64,63
Total Carrying Distance,147.41,30
Progressive Carrying Distance,67.93,32
,,
Progressive Carries,0.88,27
Carries into Final Third,1.09,39
Carries into Penalty Area,0.16,49
Miscontrols,2.07,12
Dispossessed,1.24,19
,,
Passes Received,44.72,63
Progressive Passes Rec,3.47,79
Yellow Cards,0.31,23
Red Cards,0,59
Second Yellow Card,0,55
Fouls Committed,2.33,3
Fouls Drawn,1.66,75
Offsides,0.05,42
Crosses,0.93,54
,,
Interceptions,1.3,72
Tackles Won,1.76,91
Penalty Kicks Won,0,44
Penalty Kicks Conceded,0,60
Own Goals,0,54
Ball Recoveries,8.45,95
,,
Aerials won,0.62,32
Aerials lost,0.67,71
% of Aerials Won,48.00%,46
