Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,44
Assists,0.06,41
Goals + Assists,0.11,38
Non-Penalty Goals,0.06,47
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
Yellow Cards,0.51,1
Red Cards,0,59
xG,0.03,17
Non-Penalty xG,0.03,20
xAG,0.06,37
npxG + xAG,0.1,24
,,
Progressive Carries,1.03,34
Progressive Passes,5.25,54
Progressive Passes Rec,1.03,22
Goals,0.06,44
Shots Total,0.91,42
Shots on target,0.46,77
Shots on target %,50.00%,96
Goals/Shot,0.06,47
Goals/Shot on target,0.13,32
Average Shot Distance,22.9,35
Shots from free kicks,0.06,75
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
,,
xG,0.03,17
Non-Penalty xG,0.03,20
npxG/Sh,0.04,12
Goals - xG,0.02,69
Non-Penalty Goals - npxG,0.02,69
Passes Completed,50.08,75
Passes Attempted,59.33,74
Pass Completion %,84.40%,64
Total Passing Distance,942.43,82
Progressive Passing Distance,264.52,79
,,
Passes Completed (Short),22.1,68
Passes Attempted (Short),24.1,64
Pass Completion % (Short),91.70%,83
,,
Passes Completed (Medium),20.33,74
Passes Attempted (Medium),23.13,75
Pass Completion % (Medium),87.90%,59
,,
Passes Completed (Long),6.91,90
Passes Attempted (Long),9.71,84
Pass Completion % (Long),71.20%,73
Assists,0.06,41
xAG,0.06,37
Expected Assists,0.06,40
Key Passes,0.69,28
Passes into Final Third,4.97,65
Passes into Penalty Area,0.63,43
Crosses into Penalty Area,0,10
Progressive Passes,5.25,54
Passes Attempted,59.33,74
,,
Live-ball passes,55.85,73
Dead-ball passes,3.26,76
Passes from Free Kicks,2.34,84
Through Balls,0.34,86
Switches,1.09,92
Crosses,0.74,49
Throw-Ins taken,0.51,83
Corner Kicks,0.4,69
,,
Inswinging Corner Kicks,0.06,63
Outswinging Corner Kicks,0.29,74
Straight Corner Kicks,0,45
,,
Passes Completed,50.08,75
Passes Offside,0.23,32
Passes Blocked,0.97,35
Shot-Creating Actions,2.11,39
,,
SCA (PassLive),1.6,37
SCA (PassDead),0.23,72
SCA (TO),0,15
SCA (Sh),0.23,88
SCA (Fld),0.06,35
SCA (Def),0,16
,,
Goal-Creating Actions,0.29,67
,,
GCA (PassLive),0.23,70
GCA (PassDead),0,39
GCA (TO),0,42
GCA (Sh),0.06,93
GCA (Fld),0,38
GCA (Def),0,44
Tackles,2.97,90
Tackles Won,1.77,92
Tackles (Def 3rd),1.26,87
Tackles (Mid 3rd),1.6,95
Tackles (Att 3rd),0.11,11
,,
Dribblers Tackled,1.48,91
Dribbles Challenged,3.03,90
% of dribblers tackled,49.10%,63
Challenges Lost,1.54,17
,,
Blocks,1.26,54
Shots Blocked,0.4,83
Passes Blocked,0.86,38
,,
Interceptions,1.43,79
Tkl+Int,4.4,90
Clearances,1.43,75
Errors,0,71
Touches,69.9,76
Touches (Def Pen),2.23,57
Touches (Def 3rd),17.7,88
Touches (Mid 3rd),42.77,80
Touches (Att 3rd),10.39,31
Touches (Att Pen),0.63,26
Touches (Live-Ball),69.9,76
,,
Take-Ons Attempted,1.09,42
Successful Take-Ons,0.57,40
Successful Take-On %,52.60%,55
Times Tackled During Take-On,0.46,53
Tackled During Take-On Percentage,42.10%,34
,,
Carries,42.54,71
Total Carrying Distance,205.64,63
Progressive Carrying Distance,102.16,70
,,
Progressive Carries,1.03,34
Carries into Final Third,1.2,49
Carries into Penalty Area,0,5
Miscontrols,1.43,35
Dispossessed,0.57,75
,,
Passes Received,46.03,67
Progressive Passes Rec,1.03,22
Yellow Cards,0.51,1
Red Cards,0,59
Second Yellow Card,0,55
Fouls Committed,1.2,62
Fouls Drawn,0.86,28
Offsides,0,81
Crosses,0.74,49
,,
Interceptions,1.43,79
Tackles Won,1.77,92
Penalty Kicks Won,0,44
Penalty Kicks Conceded,0,60
Own Goals,0,54
Ball Recoveries,7.88,88
,,
Aerials won,0.69,38
Aerials lost,1.54,13
% of Aerials Won,30.80%,8
