Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.06,46
Assists,0,10
Goals + Assists,0.06,19
Non-Penalty Goals,0.06,49
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
Yellow Cards,0.42,7
Red Cards,0,59
xG,0.13,75
Non-Penalty xG,0.13,81
xAG,0.02,4
npxG + xAG,0.16,50
,,
Progressive Carries,1.02,34
Progressive Passes,3.34,12
Progressive Passes Rec,2.15,55
Goals,0.06,46
Shots Total,1.08,56
Shots on target,0.54,85
Shots on target %,50.00%,96
Goals/Shot,0.06,47
Goals/Shot on target,0.11,29
Average Shot Distance,13.4,98
Shots from free kicks,0,33
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
,,
xG,0.13,75
Non-Penalty xG,0.13,81
npxG/Sh,0.12,93
Goals - xG,-0.07,7
Non-Penalty Goals - npxG,-0.07,7
Passes Completed,34.1,31
Passes Attempted,40.97,27
Pass Completion %,83.20%,54
Total Passing Distance,549.67,27
Progressive Passing Distance,155.93,28
,,
Passes Completed (Short),17.2,39
Passes Attempted (Short),19.89,40
Pass Completion % (Short),86.50%,31
,,
Passes Completed (Medium),13.44,33
Passes Attempted (Medium),15.29,30
Pass Completion % (Medium),87.90%,59
,,
Passes Completed (Long),2.57,24
Passes Attempted (Long),3.7,16
Pass Completion % (Long),69.40%,67
Assists,0,10
xAG,0.02,4
Expected Assists,0.05,21
Key Passes,0.42,9
Passes into Final Third,3.34,29
Passes into Penalty Area,0.24,5
Crosses into Penalty Area,0,10
Progressive Passes,3.34,12
Passes Attempted,40.97,27
,,
Live-ball passes,40.31,30
Dead-ball passes,0.54,8
Passes from Free Kicks,0.42,18
Through Balls,0.06,24
Switches,0.48,58
Crosses,0.42,30
Throw-Ins taken,0.12,36
Corner Kicks,0,22
,,
Inswinging Corner Kicks,0,30
Outswinging Corner Kicks,0,29
Straight Corner Kicks,0,45
,,
Passes Completed,34.1,31
Passes Offside,0.12,73
Passes Blocked,0.42,97
Shot-Creating Actions,1.67,18
,,
SCA (PassLive),1.31,19
SCA (PassDead),0,19
SCA (TO),0.06,51
SCA (Sh),0.18,80
SCA (Fld),0.12,65
SCA (Def),0,16
,,
Goal-Creating Actions,0.06,7
,,
GCA (PassLive),0,2
GCA (PassDead),0,39
GCA (TO),0,42
GCA (Sh),0.06,93
GCA (Fld),0,38
GCA (Def),0,44
Tackles,2.27,62
Tackles Won,1.31,63
Tackles (Def 3rd),0.96,64
Tackles (Mid 3rd),0.84,35
Tackles (Att 3rd),0.48,94
,,
Dribblers Tackled,0.84,43
Dribbles Challenged,1.55,23
% of dribblers tackled,53.80%,78
Challenges Lost,0.72,83
,,
Blocks,1.25,53
Shots Blocked,0.36,77
Passes Blocked,0.9,44
,,
Interceptions,0.9,34
Tkl+Int,3.17,50
Clearances,3.46,99
Errors,0.12,2
Touches,53.99,34
Touches (Def Pen),5.02,98
Touches (Def 3rd),15.29,72
Touches (Mid 3rd),28.07,27
Touches (Att 3rd),11.05,36
Touches (Att Pen),1.73,70
Touches (Live-Ball),53.99,34
,,
Take-Ons Attempted,1.61,62
Successful Take-Ons,0.96,68
Successful Take-On %,59.30%,75
Times Tackled During Take-On,0.54,45
Tackled During Take-On Percentage,33.30%,65
,,
Carries,30.22,31
Total Carrying Distance,149.42,32
Progressive Carrying Distance,69.64,35
,,
Progressive Carries,1.02,34
Carries into Final Third,1.19,48
Carries into Penalty Area,0.06,26
Miscontrols,1.73,21
Dispossessed,0.84,49
,,
Passes Received,33.92,34
Progressive Passes Rec,2.15,55
Yellow Cards,0.42,7
Red Cards,0,59
Second Yellow Card,0,55
Fouls Committed,2.21,6
Fouls Drawn,0.9,29
Offsides,0,81
Crosses,0.42,30
,,
Interceptions,0.9,34
Tackles Won,1.31,63
Penalty Kicks Won,0,44
Penalty Kicks Conceded,0.06,5
Own Goals,0,54
Ball Recoveries,5.32,18
,,
Aerials won,2.69,96
Aerials lost,1.43,16
% of Aerials Won,65.20%,95
