Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.28,95
Assists,0.14,76
Goals + Assists,0.43,94
Non-Penalty Goals,0.19,85
Penalty Kicks Made,0.09,97
Penalty Kicks Attempted,0.09,96
Yellow Cards,0.24,44
Red Cards,0,59
xG,0.14,78
Non-Penalty xG,0.06,45
xAG,0.13,76
npxG + xAG,0.19,60
,,
Progressive Carries,0.99,34
Progressive Passes,6.52,77
Progressive Passes Rec,1.94,50
Goals,0.28,95
Shots Total,1.09,57
Shots on target,0.47,79
Shots on target %,43.50%,90
Goals/Shot,0.17,91
Goals/Shot on target,0.4,77
Average Shot Distance,28.4,2
Shots from free kicks,0,33
Penalty Kicks Made,0.09,97
Penalty Kicks Attempted,0.09,96
,,
xG,0.14,78
Non-Penalty xG,0.06,45
npxG/Sh,0.06,41
Goals - xG,0.15,98
Non-Penalty Goals - npxG,0.13,98
Passes Completed,57.86,88
Passes Attempted,68.3,90
Pass Completion %,84.70%,67
Total Passing Distance,902.51,78
Progressive Passing Distance,302.57,89
,,
Passes Completed (Short),29.83,92
Passes Attempted (Short),33.7,95
Pass Completion % (Short),88.50%,49
,,
Passes Completed (Medium),22.07,84
Passes Attempted (Medium),24.77,85
Pass Completion % (Medium),89.10%,67
,,
Passes Completed (Long),3.59,47
Passes Attempted (Long),5.39,47
Pass Completion % (Long),66.70%,59
Assists,0.14,76
xAG,0.13,76
Expected Assists,0.11,70
Key Passes,0.99,55
Passes into Final Third,5.48,74
Passes into Penalty Area,0.76,56
Crosses into Penalty Area,0.09,49
Progressive Passes,6.52,77
Passes Attempted,68.3,90
,,
Live-ball passes,65.66,90
Dead-ball passes,2.17,56
Passes from Free Kicks,1.75,70
Through Balls,0.38,89
Switches,0.19,19
Crosses,0.71,47
Throw-Ins taken,0.14,41
Corner Kicks,0.14,61
,,
Inswinging Corner Kicks,0.09,66
Outswinging Corner Kicks,0.05,63
Straight Corner Kicks,0,45
,,
Passes Completed,57.86,88
Passes Offside,0.47,2
Passes Blocked,0.95,37
Shot-Creating Actions,3.12,78
,,
SCA (PassLive),2.65,87
SCA (PassDead),0.05,53
SCA (TO),0.05,46
SCA (Sh),0.09,49
SCA (Fld),0.19,85
SCA (Def),0.09,83
,,
Goal-Creating Actions,0.38,82
,,
GCA (PassLive),0.38,93
GCA (PassDead),0,39
GCA (TO),0,42
GCA (Sh),0,37
GCA (Fld),0,38
GCA (Def),0,44
Tackles,3.4,96
Tackles Won,2.08,97
Tackles (Def 3rd),0.99,67
Tackles (Mid 3rd),2.08,99
Tackles (Att 3rd),0.33,69
,,
Dribblers Tackled,1.56,94
Dribbles Challenged,3.07,91
% of dribblers tackled,50.80%,69
Challenges Lost,1.51,19
,,
Blocks,1.65,88
Shots Blocked,0.09,13
Passes Blocked,1.56,94
,,
Interceptions,1.84,96
Tkl+Int,5.25,98
Clearances,1.65,85
Errors,0.05,19
Touches,80.88,93
Touches (Def Pen),3.03,82
Touches (Def 3rd),19.43,93
Touches (Mid 3rd),49.96,93
Touches (Att 3rd),12.67,49
Touches (Att Pen),0.9,40
Touches (Live-Ball),80.78,93
,,
Take-Ons Attempted,0.76,19
Successful Take-Ons,0.47,30
Successful Take-On %,62.50%,82
Times Tackled During Take-On,0.24,84
Tackled During Take-On Percentage,31.30%,74
,,
Carries,45.14,76
Total Carrying Distance,178.2,51
Progressive Carrying Distance,79.74,47
,,
Progressive Carries,0.99,34
Carries into Final Third,1.51,62
Carries into Penalty Area,0.24,67
Miscontrols,1.04,66
Dispossessed,1.42,10
,,
Passes Received,54.36,86
Progressive Passes Rec,1.94,50
Yellow Cards,0.24,44
Red Cards,0,59
Second Yellow Card,0,55
Fouls Committed,1.28,54
Fouls Drawn,1.89,86
Offsides,0.05,46
Crosses,0.71,47
,,
Interceptions,1.84,96
Tackles Won,2.08,97
Penalty Kicks Won,0,44
Penalty Kicks Conceded,0,60
Own Goals,0,54
Ball Recoveries,11.06,99
,,
Aerials won,0.61,31
Aerials lost,0.66,73
% of Aerials Won,48.10%,47
