Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.13,72
Assists,0.13,72
Goals + Assists,0.26,73
Non-Penalty Goals,0.13,76
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
Yellow Cards,0.39,10
Red Cards,0,59
xG,0.16,86
Non-Penalty xG,0.16,91
xAG,0.1,66
npxG + xAG,0.27,82
,,
Progressive Carries,0.85,26
Progressive Passes,6.81,83
Progressive Passes Rec,3.93,86
Goals,0.13,72
Shots Total,2.23,95
Shots on target,0.79,97
Shots on target %,35.30%,72
Goals/Shot,0.06,47
Goals/Shot on target,0.17,39
Average Shot Distance,19.8,63
Shots from free kicks,0.07,77
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0,43
,,
xG,0.16,86
Non-Penalty xG,0.16,91
npxG/Sh,0.07,51
Goals - xG,-0.03,25
Non-Penalty Goals - npxG,-0.03,26
Passes Completed,49.13,71
Passes Attempted,57.97,72
Pass Completion %,84.70%,67
Total Passing Distance,754.72,59
Progressive Passing Distance,207.58,54
,,
Passes Completed (Short),26.59,86
Passes Attempted (Short),30.2,88
Pass Completion % (Short),88.10%,44
,,
Passes Completed (Medium),18.54,66
Passes Attempted (Medium),21.16,65
Pass Completion % (Medium),87.60%,56
,,
Passes Completed (Long),2.55,23
Passes Attempted (Long),4,22
Pass Completion % (Long),63.90%,47
Assists,0.13,72
xAG,0.1,66
Expected Assists,0.08,52
Key Passes,1.11,65
Passes into Final Third,4.45,54
Passes into Penalty Area,0.79,58
Crosses into Penalty Area,0.07,38
Progressive Passes,6.81,83
Passes Attempted,57.97,72
,,
Live-ball passes,56.2,75
Dead-ball passes,1.51,40
Passes from Free Kicks,0.72,33
Through Balls,0.13,47
Switches,0.33,43
Crosses,0.66,44
Throw-Ins taken,0.46,80
Corner Kicks,0.2,62
,,
Inswinging Corner Kicks,0.2,71
Outswinging Corner Kicks,0,29
Straight Corner Kicks,0,45
,,
Passes Completed,49.13,71
Passes Offside,0.26,21
Passes Blocked,0.46,95
Shot-Creating Actions,2.29,49
,,
SCA (PassLive),2.03,63
SCA (PassDead),0,19
SCA (TO),0,15
SCA (Sh),0.07,34
SCA (Fld),0.07,40
SCA (Def),0.13,94
,,
Goal-Creating Actions,0.26,61
,,
GCA (PassLive),0.26,78
GCA (PassDead),0,39
GCA (TO),0,42
GCA (Sh),0,37
GCA (Fld),0,38
GCA (Def),0,44
Tackles,3.34,95
Tackles Won,2.03,96
Tackles (Def 3rd),1.38,91
Tackles (Mid 3rd),1.38,86
Tackles (Att 3rd),0.59,99
,,
Dribblers Tackled,1.18,77
Dribbles Challenged,2.16,65
% of dribblers tackled,54.50%,80
Challenges Lost,0.98,55
,,
Blocks,0.85,17
Shots Blocked,0.13,21
Passes Blocked,0.72,23
,,
Interceptions,1.38,77
Tkl+Int,4.72,94
Clearances,1.57,82
Errors,0,71
Touches,69.89,76
Touches (Def Pen),2.23,57
Touches (Def 3rd),13.1,54
Touches (Mid 3rd),37.79,63
Touches (Att 3rd),19.45,85
Touches (Att Pen),1.97,76
Touches (Live-Ball),69.89,76
,,
Take-Ons Attempted,0.33,1
Successful Take-Ons,0.13,3
Successful Take-On %,40.00%,17
Times Tackled During Take-On,0.13,96
Tackled During Take-On Percentage,40.00%,38
,,
Carries,38.78,60
Total Carrying Distance,147.05,30
Progressive Carrying Distance,67.47,31
,,
Progressive Carries,0.85,26
Carries into Final Third,1.11,41
Carries into Penalty Area,0,5
Miscontrols,1.05,65
Dispossessed,0.66,66
,,
Passes Received,46.18,67
Progressive Passes Rec,3.93,86
Yellow Cards,0.39,10
Red Cards,0,59
Second Yellow Card,0,55
Fouls Committed,1.31,51
Fouls Drawn,0.85,27
Offsides,0.13,12
Crosses,0.66,44
,,
Interceptions,1.38,77
Tackles Won,2.03,96
Penalty Kicks Won,0,44
Penalty Kicks Conceded,0,60
Own Goals,0,54
Ball Recoveries,7.01,69
,,
Aerials won,1.11,63
Aerials lost,1.38,20
% of Aerials Won,44.70%,36
