Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.35,99
Assists,0.05,36
Goals + Assists,0.4,91
Non-Penalty Goals,0,13
Penalty Kicks Made,0.35,99
Penalty Kicks Attempted,0.35,99
Yellow Cards,0.15,73
Red Cards,0,59
xG,0.31,99
Non-Penalty xG,0.04,24
xAG,0.11,70
npxG + xAG,0.15,49
,,
Progressive Carries,1.19,42
Progressive Passes,7.18,87
Progressive Passes Rec,1.14,27
Goals,0.35,99
Shots Total,0.89,39
Shots on target,0.15,23
Shots on target %,16.70%,14
Goals/Shot,0,13
Goals/Shot on target,0,13
Average Shot Distance,31.1,1
Shots from free kicks,0.05,74
Penalty Kicks Made,0.35,99
Penalty Kicks Attempted,0.35,99
,,
xG,0.31,99
Non-Penalty xG,0.04,24
npxG/Sh,0.04,12
Goals - xG,0.03,75
Non-Penalty Goals - npxG,-0.04,22
Passes Completed,57.57,88
Passes Attempted,67.43,88
Pass Completion %,85.40%,72
Total Passing Distance,1086.29,93
Progressive Passing Distance,362.67,96
,,
Passes Completed (Short),25.2,82
Passes Attempted (Short),27.23,79
Pass Completion % (Short),92.50%,88
,,
Passes Completed (Medium),21.73,81
Passes Attempted (Medium),24.55,83
Pass Completion % (Medium),88.50%,64
,,
Passes Completed (Long),8.56,96
Passes Attempted (Long),12.48,97
Pass Completion % (Long),68.70%,64
Assists,0.05,36
xAG,0.11,70
Expected Assists,0.12,73
Key Passes,1.53,83
Passes into Final Third,6.53,87
Passes into Penalty Area,0.64,45
Crosses into Penalty Area,0.15,64
Progressive Passes,7.18,87
Passes Attempted,67.43,88
,,
Live-ball passes,59.95,82
Dead-ball passes,7.43,96
Passes from Free Kicks,4.46,98
Through Balls,0,5
Switches,1.58,98
Crosses,3.91,88
Throw-Ins taken,0.3,67
Corner Kicks,2.67,92
,,
Inswinging Corner Kicks,1.83,98
Outswinging Corner Kicks,0.54,80
Straight Corner Kicks,0,45
,,
Passes Completed,57.57,88
Passes Offside,0.05,93
Passes Blocked,0.59,84
Shot-Creating Actions,3.47,86
,,
SCA (PassLive),2.52,84
SCA (PassDead),0.84,89
SCA (TO),0,15
SCA (Sh),0.05,29
SCA (Fld),0.05,30
SCA (Def),0,16
,,
Goal-Creating Actions,0.25,58
,,
GCA (PassLive),0.2,61
GCA (PassDead),0.05,84
GCA (TO),0,42
GCA (Sh),0,37
GCA (Fld),0,38
GCA (Def),0,44
Tackles,2.43,70
Tackles Won,1.34,64
Tackles (Def 3rd),1.34,90
Tackles (Mid 3rd),0.94,47
Tackles (Att 3rd),0.15,20
,,
Dribblers Tackled,0.99,63
Dribbles Challenged,2.28,72
% of dribblers tackled,43.50%,41
Challenges Lost,1.29,29
,,
Blocks,1.24,51
Shots Blocked,0.25,51
Passes Blocked,0.99,55
,,
Interceptions,1.49,83
Tkl+Int,3.91,76
Clearances,1.34,71
Errors,0,71
Touches,76.83,88
Touches (Def Pen),3.22,86
Touches (Def 3rd),20.25,96
Touches (Mid 3rd),43.96,83
Touches (Att 3rd),13.42,54
Touches (Att Pen),0.89,39
Touches (Live-Ball),76.49,88
,,
Take-Ons Attempted,0.89,28
Successful Take-Ons,0.59,42
Successful Take-On %,66.70%,90
Times Tackled During Take-On,0.2,91
Tackled During Take-On Percentage,22.20%,94
,,
Carries,56.19,93
Total Carrying Distance,274.01,87
Progressive Carrying Distance,123.71,84
,,
Progressive Carries,1.19,42
Carries into Final Third,1.68,72
Carries into Penalty Area,0.2,61
Miscontrols,0.84,81
Dispossessed,0.79,53
,,
Passes Received,51.04,80
Progressive Passes Rec,1.14,27
Yellow Cards,0.15,73
Red Cards,0,59
Second Yellow Card,0,55
Fouls Committed,0.99,77
Fouls Drawn,1.44,63
Offsides,0,81
Crosses,3.91,88
,,
Interceptions,1.49,83
Tackles Won,1.34,64
Penalty Kicks Won,0,44
Penalty Kicks Conceded,0,60
Own Goals,0,54
Ball Recoveries,7.38,77
,,
Aerials won,0.74,43
Aerials lost,0.45,93
% of Aerials Won,62.50%,90
